commit	avg_ms	fps	memory_mb	status	description
baseline	39.230	25.49	1891	keep	baseline (SDXS-512 CoreML CPU_AND_GPU on M3 Ultra 512GB)
92f9f94	39.094	25.61	1890	keep	use np.asarray to avoid redundant copies from CoreML predictions
0dc7128	39.607	25.25	1889	discard	pre-allocate rgb_buf and use in-place post-processing ops (slower: 3 passes over array)
8ec930d	39.057	25.61	1887	keep	eliminate latent arithmetic allocations using out= buffers and pre-computed constants
74c3730	49.429	20.23	1890	discard	float16 post-processing with pre-allocated buffers (float16 clip/copy much slower on aarch64)
fc32cee	38.988	25.65	1887	keep	use INTER_NEAREST for resize (faster for diffusion model input)
f93488f	39.334	25.42	1887	discard	cv2.dnn.blobFromImage preprocessing (INTER_LINEAR + float32->float16 copy overhead)
19bf8d3	38.986	25.65	1886	discard	in-place feedback blend into _lat_buf (5 numpy calls outweigh 3 alloc savings)
42a58f5	37.560	26.62	1885	keep	pre-build CoreML input dicts in init (avoid per-frame dict alloc + coremltools overhead)
3de38a1	37.335	26.78	1887	keep	CHW post-processing with pre-alloc buffer, return BGR view (skip cvtColor, avoid 3 float32 allocs)
e5f3e2b	42.607	23.47	1889	discard	float16 view for VAE decode + mixed np.add (float16+float32->float32 slow)
780acb6	37.361	26.76	1892	discard	pre-alloc uint8 + np.copyto(unsafe) slower than astype for float32->uint8
aef18c3	37.476	26.68	1890	discard	np.take per channel into CHW (3 calls overhead outweighs 1 fancy-index + copyto)
15d6326	40.039	24.98	1890	discard	np.copyto float16->float32 widening (asarray dtype=float32 is faster)
071b527	37.291	26.91	1890	keep	LATENT_FEEDBACK=0, remove all feedback code (simpler pipeline, 11 fewer lines)
ba17589	46.617	21.45	1886	discard	ComputeUnit.ALL for VAE enc/dec (ANE overhead makes small models slower)
29c47b4	37.170	26.89	1891	keep	pre-alloc resize buffer, cv2.resize dst= (avoid 786KB uint8 alloc per frame)
d0874fb	36.568	27.34	1891	keep	skip np.clip in post-processing (0.6ms saved, one full 3MB pass eliminated)
ab166fd	36.593	27.33	1891	discard	copyto directly into pre-alloc buffers (skip np.asarray intermediates for enc/unet outputs)
822e4d4	142.205	7.03	1831	discard	CPU_ONLY for VAE enc/dec (catastrophically slower — GPU essential even for small TAESD)
1005db7	38.854	25.74	1889	discard	float16 LUT for VAE decode (fancy-index overhead + dtype cast outweigh 3MB alloc savings)
b59d4bc	36.549	27.36	1893	discard	gc.collect()+gc.disable() before benchmark (GC pauses negligible at <0.02ms savings)
59201be	37.324	26.79	1895	discard	pre-alloc HWC buf + np.take(out=) for LUT normalization (np.take overhead exceeds alloc savings)
f647e35	39.772	25.14	1916	discard	np.einsum hwc->chw with out= to fuse transpose+copyto (einsum overhead much larger than copyto savings)
323439b	65.465	15.28	1282	discard	ComputeUnit.ALL for UNet only (ANE 2x slower for UNet, GPU essential for all models)
2cc27af	36.575	27.34	1892	discard	drop dtype=float32 from decoder asarray (confirms CoreML returns float32 natively, no speedup)
5b1f82f	36.407	27.47	1887	keep	cv2.convertScaleAbs fuses post-processing add+multiply+astype into one C call
79af196	36.620	27.31	1889	discard	cv2.dnn.blobFromImage CV_32F + narrowing copyto (3MB alloc outweighs LUT savings)
a5b080a	35.404	28.25	1890	keep	cv2.LUT for uint8->float16 normalization (6x faster than numpy fancy-index gather)
e601d85	35.480	28.19	1892	discard	per-channel cv2.LUT+dst= (3 Python calls overhead negate transposed-copyto savings)
2f271e7	35.402	28.25	1890	discard	pre-alloc cv2.LUT dst= (malloc reuse in loop, <0.01ms savings)
206e14b	35.387	28.26	1892	discard	float32 img_buf+LUT (isolated enc 0.9ms faster but 0.017ms in full pipeline — noise)
97f2fb5	35.024	28.55	1887	keep	float32 latent arithmetic (skip f32->f16 conversions, UNet faster with f32 input)
197c498	35.068	28.52	1890	discard	float32 img_buf+LUT combined with float32 latent (encoder slower with f32 input here)
f96383e	35.089	28.50	1888	discard	fix warmup dtypes to f32 (slightly slower — f16 warmup may create better CoreML JIT path)
db7a54b	35.073	28.52	1892	discard	float32 img_buf+LUT retry (2 runs avg 35.073ms, consistently slower by 0.049ms)
2645bd4	35.082	28.50	1890	discard	float32 prompt embeddings (f16 cast removal — f32 emb slower by 0.058ms in full pipeline)
e3071e0	34.951	28.61	1891	keep	cv2.dnn.blobFromImage f32: crop+resize+BGR2RGB+norm+NCHW in one C++ call (avg 2 runs)
82d15fe	35.019	28.56	1885	discard	skip 3MB np.copyto: dict update + per-frame alloc GC overhead outweighs copy savings
65f77fd	35.028	28.55	1889	discard	reformulate denoise as clean+k*(noise-npred): _lat_buf read not a bottleneck
5115795	34.943	28.62	1890	discard	INTER_NEAREST resize + blobFromImage no-resize: 0.006ms noise, adds complexity
cb1d5c4	35.068	28.52	1892	discard	warmup with real benchmark frames (worse: benchmark warmup sufficient, abstract warmup better for CoreML JIT)
4240898	35.047	28.54	1893	discard	simplify: remove self._fixed_noise member and np.asarray() no-ops (avg 2 runs, 0.096ms worse — within noise but technically higher)
dbf991e	28.285	35.36	1907	keep	256-res VAE enc/dec: latent upsample 32→64 for UNet, downsample 64→32 for decoder, resize output 256→512 (avg 2 runs, 6.7ms savings)
72b7628	28.250	35.40	1888	discard	INTER_NEAREST for 256→512 output resize (avg 2 runs, 0.035ms within noise)
6a4fd95	28.209	35.45	1892	keep	np.repeat upsample 32→64 (2 C calls vs 4 strided assigns, 0.076ms faster + simpler)
36ef3f1	28.273	35.37	1889	discard	skip bgr_small copyto (cv2 copies internally, 0.064ms worse)
